tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt1188996,movie,My Name Is Khan,My Name Is Khan,0,2010,\N,165,Drama,8.0,99004
tt1536044,movie,Paranormal Activity 2,Paranormal Activity 2,0,2010,\N,91,"Horror,Mystery",5.6,98985
tt0159273,movie,Behind Enemy Lines,Behind Enemy Lines,0,2001,\N,106,"Action,Drama,Thriller",6.4,98926
tt1142977,movie,Frankenweenie,Frankenweenie,0,2012,\N,87,"Animation,Comedy,Family",6.9,98914
tt0096969,movie,Born on the Fourth of July,Born on the Fourth of July,0,1989,\N,145,"Biography,Drama,War",7.2,98853
tt0342258,movie,Unleashed,Unleashed,0,2005,\N,103,"Action,Adventure,Crime",7.0,98813
tt0052311,movie,Touch of Evil,Touch of Evil,0,1958,\N,95,"Crime,Drama,Film-Noir",8.0,98783
tt1027718,movie,Wall Street: Money Never Sleeps,Wall Street: Money Never Sleeps,0,2010,\N,133,Drama,6.2,98773
tt0475276,movie,United 93,United 93,0,2006,\N,111,"Action,Drama,History",7.5,98750
tt2381991,movie,The Huntsman: Winter's War,The Huntsman: Winter's War,0,2016,\N,114,"Action,Adventure,Drama",6.1,98701
tt0113101,movie,Four Rooms,Four Rooms,0,1995,\N,98,Comedy,6.8,98697
tt0343737,movie,The Good Shepherd,The Good Shepherd,0,2006,\N,167,"Drama,History,Thriller",6.7,98680
tt0412019,movie,Broken Flowers,Broken Flowers,0,2005,\N,106,"Comedy,Drama,Mystery",7.2,98645
tt0081573,movie,Superman II,Superman II,0,1980,\N,127,"Action,Adventure,Sci-Fi",6.8,98587
tt0758746,movie,Friday the 13th,Friday the 13th,0,2009,\N,97,"Horror,Mystery,Thriller",5.5,98538
tt0861739,movie,Elite Squad,Tropa de Elite,0,2007,\N,115,"Action,Crime,Drama",8.0,98521
tt0084805,movie,Tootsie,Tootsie,0,1982,\N,116,"Comedy,Drama,Romance",7.4,98460
tt1386932,movie,Ip Man 2,Yip Man 2,0,2010,\N,108,"Action,Biography,Drama",7.5,98366
tt0118689,movie,Bean,Bean,0,1997,\N,89,"Adventure,Comedy,Family",6.5,98270
tt1800246,movie,That Awkward Moment,That Awkward Moment,0,2014,\N,94,"Comedy,Romance",6.2,98221
tt0277371,movie,Not Another Teen Movie,Not Another Teen Movie,0,2001,\N,89,Comedy,5.7,98178
tt0085995,movie,National Lampoon's Vacation,National Lampoon's Vacation,0,1983,\N,98,"Adventure,Comedy",7.4,98168
tt0477302,movie,Extremely Loud & Incredibly Close,Extremely Loud & Incredibly Close,0,2011,\N,129,"Adventure,Drama,Mystery",6.9,98140
tt0373926,movie,The Interpreter,The Interpreter,0,2005,\N,128,"Crime,Mystery,Thriller",6.4,98098
tt0070328,movie,Live and Let Die,Live and Let Die,0,1973,\N,121,"Action,Adventure,Thriller",6.8,97975
